title,artist,album,danceable, not_danceable, genre_cla, genre_dan, genre_hip, genre_jaz, genre_pop, genre_rhy, genre_roc, genre_spe,mood_cluster1,mood_cluster2,mood_cluster3,mood_cluster4,mood_cluster5, timbre_bright, timbre_dark, instrumental, voice, loudness,bpm,spotify_url,genre,mood,timbre,instrumental,tempo,danceability
Pumping on Steel,Billy Idol,Charmed Life,0.762791872025,0.237208127975,0.030633538961400000,0.0175828356296,0.709144890308,0.026553878560700000,0.07530643790960000,0.0583669394255,0.07216633111240000,0.0102451471612,0.0783803313971,0.0805988758802,0.063457608223,0.0676762759686,0.709886908531,0.941547214985,0.0584528110921,0.7403026819230000,0.25969731807700000,0.6951213479040000,109.98574829100000,spotify:track:5kFy9WGC3XNr835CJsiEBv,4,14,15,17,19,0
Fin de soirée,Plaisance,So Fresh,0.996344387531,0.00365560408682,0.005029279273,0.266442298889,0.434001326561,0.00923017039895,0.0181709956378,0.251282691956,0.0112828314304,0.00456041097641,0.144408002496,0.243158489466,0.147853076458,0.178792223334,0.285788208246,0.968507766724,0.0314922370017,0.991500914097,0.00849909428507,0.951096117496,109.999702454,Not Found,4,14,15,17,19,0
Escape,Microwaved,Desperation Upon the Wings of Angels,3.00000096379E-14,1.0,0.010334035381700000,0.156931772828,0.358310669661,0.0857644826174,0.17385236918900000,0.161820918322,0.0388826876879,0.0141030764207,0.0935314744711,0.07901118695740000,0.216760084033,0.0430484004319,0.56764882803,0.7957583069800000,0.204241707921,0.983368098736,0.0166318882257,0.93345272541,110.00305938700000,spotify:track:7vI6ml9wXtJwFuOcR9rYdk,4,14,15,17,19,1
I Put a Spell on You (dance version),Screamin Jay Hawkins,Black Music for White People,0.999999880791,1.00000008274E-07,0.00584664102644,0.0284094177186,0.59973937273,0.08129508048300000,0.023214450106,0.238175705075,0.0197730641812,0.0035462460946300000,0.0772226452827,0.0444035679102,0.227747857571,0.0306320842355,0.6199938654900000,0.992962121964,0.00703787850216,0.648018181324,0.351981848478,0.7995424866680000,110.363441467,spotify:track:3l3ttkG7ZEJjkdmyj7RZkb,4,14,15,17,19,0
Illusion,Defunkt,Defunkt + Thermonuclear Sweat,0.996768891811,0.00323111354373,0.0021550303790700000,0.0222587436438,0.851115584373,0.0614929758012,0.0220857076347,0.0235644485801,0.0144488038495,0.00287871947512,0.0916284546256,0.131159722805,0.16557350754700000,0.104678288102,0.50696003437,0.968823611736,0.0311763621867,0.857078015804,0.142921984196,0.949430286884,110.426246643,spotify:track:4i4qAvYIN8l1GmFaFJNzSg,4,14,15,17,19,0
Panama,Al Hirt,Our Man in New Orleans,0.999140024185,0.0008599859429520000,0.0084181772545,0.306893348694,0.333147197962,0.111151389778,0.035123486071800000,0.181818902493,0.0143875470385,0.00905994605273,0.160668492317,0.269201040268,0.0790449827909,0.13427142798900000,0.356814026833,0.8161105513570000,0.18388944864300000,0.82237637043,0.17762361466900000,0.735080242157,110.881408691,spotify:track:5zJJV8TLgKFl04u0vZ1EYH,4,14,15,17,19,0
The Patient,Tool,Lateralus,0.81763035059,0.182369664311,0.0284489002079,0.047643762081900000,0.301571816206,0.162533119321,0.101519592106,0.126909270883,0.213296800852,0.0180767383426,0.0749412998557,0.0599800907075,0.17311039567000000,0.0549154765904,0.637052714825,0.601652026176,0.398348003626,0.730106711388,0.26989325881,0.587160587311,111.61471557600000,spotify:track:0Klbxk3g96Qae4DbCnUNcT,4,14,15,17,19,0
Summer Synth,Ryota OPP,Pale Lux,0.999999880791,1.00000008274E-07,0.00490349065512,0.00506150675938,0.970620989799,0.0024387948215,0.00606851931661,0.00464179366827,0.00441340683028,0.00185149593744,0.082681491971,0.0880800038576,0.247389152646,0.0931075885892,0.488741755486,0.993332445621,0.00666756462306,1.0,1.17821169487E-10,0.948656916618,111.944122314,spotify:track:1jcYSOwKdgCHi35810O5X5,4,14,15,17,19,0
Dont Mess With Doctor Dream,Thompson Twins,Greatest Hits,0.987655043602,0.0123449573293,0.00684109376743,0.0197399649769,0.59204018116,0.0287350285798,0.248340621591,0.07345834374430000,0.0288591422141,0.00198561465368,0.133602082729,0.158586710691,0.08976133167740000,0.119576916099,0.498472958803,0.97777557373,0.0222244244069,0.726621687412,0.273378282785,0.8650764226910000,111.98314666700000,spotify:track:2W7cta7iKONdUz9W0u3ztv,4,14,15,17,19,0
Personal Information,Jimmy Edgar,Color Strip,3.00000096379E-14,1.0,0.00397551152855,0.201319336891,0.610660612583,0.00917979236692,0.0162996742874,0.14571756124500000,0.0057473871856900000,0.007100104819980000,0.154636979103,0.132909372449,0.295317620039,0.0735164880753,0.34361955523500000,0.912502288818,0.08749768882990000,0.661723971367,0.33827602863300000,0.910290777683,111.985443115,spotify:track:1V7brx0d29d65Cxs3MxzRT,4,14,15,17,19,1
